Sr No.,Model,Colour,Memory,RAM,Battery_,Rear Camera,Front Camera,AI Lens,Mobile Height,Processor_,Prize
93,REDMI 11 Prime,Peppy Purple,64,4,5000,50MP,8MP,0,16.71,Helio G99,"9,999"
94,MOTOROLA g73 5G,Lucent White,128,8,5000,50MP,16MP,0,16.51,Mediatek Dimensity 930,"16,999"
95,POCO M5,Icy Blue,64,4,5000,50MP,8MP,0,16.71,Mediatek Helio G99,"12,499"
96,realme 10 Pro 5G,Dark Matter,128,8,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,"19,999"
97,realme 10 Pro 5G,Nebula Blue,128,6,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,"18,999"
98,Micromax IN 2C,Nebula Blue,128,6,800,0MP,0MP,0,4.5,SC6531E,"1,449"
99,POCO M5,Power Black,128,6,5000,50MP,8MP,0,16.71,Mediatek Helio G99,"14,499"
100,POCO M5,Yellow,128,6,5000,50MP,8MP,0,16.71,Mediatek Helio G99,"14,499"
101,POCO M4 Pro 5G,Yellow,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,"15,999"
102,realme 10 Pro 5G,Hyperspace,128,8,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,"19,999"
103,realme 10 Pro 5G,Dark Matter,128,6,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,"18,999"
104,realme 10 Pro 5G,Nebula Blue,128,8,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,"19,999"
105,realme 10 Pro 5G,Hyperspace,128,6,5000,108MP,16MP,0,17.07,Qualcomm Snapdragon 695 5G,"18,999"
106,POCO C50,Country Green,32,3,5000,8MP,5MP,0,16.56,Mediatek Helio A22,"6,299"
107,realme Narzo 30 Pro 5G,Blade Silver,128,8,5000,48MP,16MP,0,16.51,MediaTek Dimensity 800U,"15,999"
108,micromax 2,Blade Silver,128,8,1900,2MP,0MP,0,7.11,SC6531E,"1,849"
109,Infinix Note 12 Pro 5G,Force Black,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 810 5G,"15,999"
